1,61,80,16,84,75,2,99,94,93,60,21,66,74,70,40,33,35,18,9,29,17,15,96,100,22,19,57,47,92,51,87,37,81,44,64,32,26,46,38,91,82,48,39,11,52,50,25,62,79,5,56,12,68,6,41,54,63,89,30,90,20,24,98,4,65,83,95,45,27,77,10,49,23,43,31,34,73,58,71,36,86,85,14,72,13,59,55,7,3,97,76,67,28,69,8,88,53,42,78
2,30,24,18,17,31,78,88,35,63,39,96,29,82,13,58,98,54,69,94,97,89,76,50,6,21,93,99,73,60,90,92,32,52,71,46,14,4,37,43,72,5,57,56,61,70,81,40,79,8,95,80,16,51,62,10,38,83,85,33,55,11,28,49,34,77,12,7,9,59,42,48,3,23,87,86,15,65,75,100,84,36,41,64,26,53,27,19,66,45,25,44,20,74,1,68,47,67,22,91
3,93,50,41,88,45,72,67,30,35,19,9,21,4,69,59,52,81,75,84,63,99,7,38,23,2,92,33,5,46,10,64,39,74,55,22,16,83,70,77,1,95,86,24,73,78,42,96,79,68,98,17,37,15,51,8,57,61,62,20,97,90,29,85,25,89,36,94,48,60,82,87,6,100,11,66,40,18,53,49,54,12,76,27,91,80,56,58,34,32,14,28,26,13,71,43,31,47,65,44
4,82,10,84,65,87,60,21,100,52,50,6,13,20,71,15,33,18,46,88,32,2,47,42,24,74,93,83,94,90,77,40,92,89,27,38,9,58,73,11,8,44,12,76,30,14,64,41,53,22,37,81,17,28,23,31,39,63,86,62,48,70,69,1,49,26,36,66,91,16,25,19,45,79,55,80,56,96,3,61,78,51,72,54,43,85,59,7,95,5,97,67,68,34,75,57,29,35,99,98
5,47,87,49,21,58,81,24,13,38,22,73,86,56,76,6,79,3,26,35,46,91,15,25,80,61,20,82,32,43,37,16,97,55,84,95,9,17,10,63,68,48,12,92,7,50,41,66,98,1,45,65,100,69,42,2,11,40,70,30,14,93,85,71,72,52,78,75,88,90,54,60,18,39,83,96,94,57,19,27,77,29,64,89,4,31,44,23,67,62,59,51,33,74,53,34,8,36,99,28
6,20,57,36,87,51,88,99,64,92,14,45,69,37,67,72,79,80,75,39,91,78,84,28,27,41,94,42,40,1,15,53,89,98,10,83,5,4,62,32,21,76,66,44,29,82,3,97,43,58,61,49,52,18,9,50,26,81,77,93,11,100,12,60,34,70,96,54,33,30,31,24,7,73,47,68,63,16,74,8,22,90,19,71,35,56,23,95,13,46,38,59,65,86,48,85,25,2,17,55
7,60,48,5,82,33,69,24,88,59,16,92,19,64,55,71,76,90,58,91,32,12,43,27,15,26,25,35,77,100,22,17,81,37,9,98,85,73,50,2,46,8,3,94,65,79,80,70,83,42,97,1,57,75,74,84,61,10,87,62,93,52,34,44,11,38,68,95,6,78,51,56,49,41,89,63,23,45,20,4,86,72,31,14,66,39,21,29,36,47,18,30,54,13,67,28,40,99,96,53
8,56,94,96,62,34,20,69,40,70,66,30,18,5,48,97,87,73,76,57,41,46,51,63,26,16,77,74,81,33,43,27,32,13,83,50,54,4,37,2,3,98,84,42,25,10,79,9,39,21,90,23,17,47,64,6,15,95,58,78,36,99,38,29,11,35,14,80,22,7,91,67,31,28,75,82,68,93,19,12,52,61,86,44,88,92,45,1,100,53,89,71,59,85,65,49,24,72,55,60
9,98,57,16,42,34,1,46,63,61,13,54,30,53,31,6,70,71,87,76,14,29,36,3,48,68,80,84,91,7,62,67,95,60,97,33,35,32,55,83,90,94,92,50,77,64,40,22,11,17,69,73,58,52,51,72,78,93,99,45,75,100,59,44,25,18,4,37,10,19,96,82,47,65,66,41,27,26,89,74,20,86,38,56,81,21,88,49,39,28,23,85,12,2,5,24,8,79,43,15
10,83,25,27,57,98,8,99,16,74,88,26,28,91,85,76,80,39,4,50,34,14,32,65,36,17,22,58,70,35,55,37,20,100,63,97,45,64,23,73,51,40,61,56,93,87,11,79,86,46,90,42,95,77,89,71,69,48,18,1,96,62,19,38,82,52,43,29,59,72,94,92,9,6,68,66,41,33,21,15,47,13,60,30,2,7,75,84,54,53,31,44,5,12,81,78,67,49,24,3
11,69,18,14,8,90,33,4,71,99,3,29,35,77,74,9,10,16,24,34,38,72,55,1,44,20,63,75,100,48,57,7,31,89,12,80,37,41,59,52,73,87,70,98,68,88,2,30,91,27,22,65,17,95,39,62,43,76,86,61,93,53,49,26,64,78,40,84,15,47,19,92,28,13,50,6,42,82,94,5,56,54,21,23,25,66,83,58,51,67,96,97,81,46,45,60,79,32,85,36
